keys,ja,en
lore.tutorial1-goblin-raid.party.4,"弓兵。巣穴攻略に備えて合流した射手。離れたところから敵を削り、前衛の負担を軽くする。","An archer. A bowman who joined the force for the assault on the lair. He thins the enemy from range, easing the burden on the vanguard."
lore.tutorial1-goblin-raid.party.5,"神官。町を救うために追いついた聖職者。囚われた住民を解放する力を持つが、戦闘には向かない。町の解放を見届けたあとは残って治療に専念する。","A cleric. A priest who caught up with the force to help liberate the town. Able to free captive townsfolk but not built for combat. After the town is secured, he stays behind to tend the wounded."
lore.tutorial1-goblin-raid.enemy.title,相手は何者か,The Enemy
lore.tutorial1-goblin-raid.enemy.1,"ゴブリン。小柄だが群れで動き、数の暴力で押す。個々の力は自警団員に劣るが、束になれば脅威になる。","Goblins. Small but pack-minded, they rely on sheer numbers. One-on-one they are weaker than a militiaman, but in numbers they are dangerous."
lore.tutorial1-goblin-raid.enemy.2,"ホブゴブリン。ゴブリンの上位種で、体格も一撃の重さも段違い。高所や包囲を使わなければ真正面から打ち勝つのは難しい。","Hobgoblins. The larger cousins of common goblins, heavier and far harder-hitting. Without high ground or encirclement, beating one head-on is a tall order."
lore.tutorial1-goblin-raid.enemy.3,"ゴブリンアーチャー。巣穴の中で射撃を覚えた射手。火力と機動力は弓兵に劣るが、狭い通路では油断できない。","Goblin archers. Marksmen trained in the tunnels. They lack the firepower and mobility of a true bowman, but in tight corridors they cannot be ignored."
lore.tutorial1-goblin-raid.enemy.4,"ゴブリンロード。巣穴の主にして群れの頭目。配下とは格の違う戦闘力を持ち、玉座の間に陣取って動かない。力ずくで崩すのではなく、挟み撃ちにして弱らせるのが定石。","The Goblin Lord. Master of the lair and chieftain of the horde. His fighting prowess is a cut above his minions, and he will not budge from his throne room. The way to bring him down is not brute force but a pincer attack, weakening him from both sides."
lore.tutorial1-goblin-raid.origin.title,物語の背景,The Backstory
lore.tutorial1-goblin-raid.origin.1,"ゴブリンの群れが大挙して山を下りるのは珍しいことではないが、今回の襲撃はいつもより組織だっていた。ロードが群れを束ね、斥候を先行させ、本隊を控えさせた——自然の衝動だけでは説明しにくい統率が見られた。","It is not unusual for goblin hordes to sweep down from the hills in force, but this raid was more organized than most. The Lord marshaled the horde, sent scouts ahead, and held back the main body — a degree of coordination hard to explain by instinct alone."
lore.tutorial1-goblin-raid.origin.2,"自警団は少数精鋭で持ちこたえたが、都からの援軍はついに来なかった。辺境の町は自力で身を守るしかないという現実が、あらためて突きつけられた戦いだった。","The militia held with few but skilled fighters, yet reinforcements from the capital never came. This battle drove home once more the reality that a frontier town must fend for itself."
lore.tutorial1-goblin-raid.origin.3,"巣穴を潰したことでゴブリンの群れは散り、しばらくは平穏が戻る。だが山の向こうにはまだ何かがいる——群れが降りてきた本当の理由を知る者は、まだいない。","With the lair destroyed, the goblin horde scattered, and for a time peace returned. But something still lurks beyond the mountains — and no one yet knows the true reason the horde descended."
unit.cleric.desc,教会で学んだ若い聖職者たち。祈りの力で拠点を守る。,"Young clerics trained at the church. They hold captured bases with the power of prayer."
unit.priest.desc,信仰を深めた聖職者。杖の一撃は見習いとは比べものにならない。,"Ordained clergy whose strikes far surpass those of novice clerics."
unit.bishop.desc,聖職の長。加護の祈りは前線の盾となる。,"High-ranking clergy. Their prayers of protection serve as a shield on the front line."
unit.paladin.desc,聖国の最高騎士位。その剣と祈りはいかなる前線をも支える。,"The highest rank of holy knight. Their swords and prayers can hold any front line."
unit.archer.desc,弓を手にした兵士。距離を取って戦い、空の敵にも矢を届かせる。,"Soldiers armed with bows. They fight at range and can loose arrows at airborne foes."
unit.hunter.desc,森と山を知り尽くした狩人。長弓の射程と機動力に優れる。,"Hunters well-versed in forest and mountain. They excel in both range and mobility."
unit.elf.desc,森に住む長命の民。その弓は空のどこへでも正確に届く。,"A long-lived people who dwell in the forest. Their arrows reach anywhere in the sky with unerring accuracy."
unit.mage.desc,魔法の基礎を修めた術者。その術は鎧を貫くが、懐に入られると弱い。,"Apprentice spellcasters. Their spells pierce armor, but they falter at close range."
unit.wizard.desc,魔法の道を極めた術者。貫通力と射程に優れ、重装の敵を崩す。,"Master spellcasters. Their superior piercing power and range can break through heavily armored foes."
unit.witch.desc,魔法の研究に没頭する術者。射程は魔法兵のなかで最も長い。,"Mages devoted to arcane research. They boast the longest range among spellcasters."
unit.thief.desc,闇に紛れて動く曲者。足が速く、敵の背後を衝くのが得意。,"Rogues who move under cover of darkness. Swift on their feet, they specialize in striking from behind."
unit.halfling.desc,小柄で素早い半人の民。茂みを自在に駆け、投石で空も狙う。,"A small, nimble folk. They dart through brush with ease and can target the sky with their slings."
unit.ninja.desc,東の果ての国の隠密。圧倒的な攻撃力で一撃を狙う。,"Covert operatives from the far eastern land. They aim for a devastating single strike."
unit.kunoichi.desc,東の果ての国の女忍。忍術は魔法に近く、鎧ごと敵を貫く。,"Female shinobi from the far eastern land. Their ninjutsu resembles magic, piercing through armor."
unit.pixie.desc,妖精の一団。非力だが空を舞い、魔法の粉で味方を護る。,"A band of fairies. Frail but airborne, they shield allies with enchanted dust."
unit.birdman.desc,翼を持つ民。空と地の両方を相手取れる、器用な空の兵。,"A winged people. Versatile fliers who can engage foes both in the sky and on the ground."
unit.novice.desc,戦場に出たばかりの若い兵。伸びしろはあるが、まだ頼りない。,"Young soldiers fresh to the battlefield. Full of potential, but not yet reliable."
unit.fighter.desc,戦い慣れた歩兵。攻守のバランスが良く、どの前線にも置ける。,"Battle-hardened foot soldiers. Well-balanced in offense and defense, they fit any front line."
unit.vanguard.desc,精鍛の歩兵。攻防ともに高水準で、主力の中核を担う。,"Elite foot soldiers. High in both attack and defense, they form the backbone of any force."
unit.knight.desc,重装の騎士。堅い守りで味方を支え、壁となって前線を守る。,"Heavily armored knights. They bolster allies with steadfast defense, forming an unyielding wall."
unit.dwarf.desc,山に暮らす頑固な民。岩場を苦にせず歩き、攻防とも隙がない。,"A stubborn people who dwell in the mountains. They traverse rocky terrain with ease and have no weakness in combat."
unit.wagon.desc,兵を運ぶ馬車。戦う力はないが、仲間を素早く前線へ届ける。,"A horse-drawn wagon for transporting troops. It cannot fight, but swiftly delivers allies to the front."
unit.horse.desc,一人を乗せて運ぶ馬。戦う力はないが、足の遅い仲間を前線へ届ける。,"A riding horse that carries one ally. It cannot fight, but brings a slow comrade to the front."
unit.airship.desc,空を飛ぶ輸送艇。地形を無視して仲間を運ぶ空の足。,"An airborne transport vessel. It carries allies over any terrain, serving as wings for the force."
unit.barricade.desc,動かない防壁。攻撃はできないが、敵の進路を塞いで味方を守る。,"A stationary barricade. It cannot attack, but blocks enemy paths and shields allies."
unit.ballista.desc,据え置きの巨大な弩。長射程の一撃は凄まじいが、動くことはできない。,"A massive stationary crossbow. Its long-range bolts are devastating, but it cannot move."
unit.goblin.desc,群れをなす小鬼。一体は弱いが、数で押し寄せて拠点を奪う。,"Swarming imps. Weak alone, they overwhelm by sheer numbers and seize bases."
unit.hobgoblin.desc,ゴブリンの上位種。体が大きく力も強い、群れの戦士。,"A superior breed of goblin. Larger and stronger, they serve as the warriors of the horde."
unit.goblin_archer.desc,粗末な弓を持つゴブリン。精度は低いが、空の相手にも矢を放つ。,"Goblins armed with crude bows. Inaccurate, but capable of loosing arrows at airborne targets."
unit.goblin_lord.desc,ゴブリンの群れを率いる長。配下を従え、自らも強い。,"The chief who leads the goblin horde. Surrounded by retainers and formidable in his own right."
unit.skeleton.desc,墓から這い出た骨の兵。意志はないが、術者の命令に忠実に動く。,"Skeletal soldiers risen from the grave. Mindless, but they obey their master's commands without question."
unit.zombie.desc,朽ちた体で立ち上がる死者。動きは鈍いが、倒しにくい。,"The dead risen in decaying flesh. Slow-moving, but difficult to bring down."
unit.skeleton_archer.desc,弓を持った骨の兵。生前の技を残すかのように矢を放つ。,"Skeletal archers. They loose arrows as if echoing the skills they held in life."
unit.ghoul.desc,墓地に巣食う食屍鬼。獰猛で素早く、生者の肉を求めて襲いかかる。,"Flesh-eating fiends that haunt graveyards. Savage and swift, they attack the living in hunger."
unit.dullahan.desc,首のない騎士の亡霊。生前の武技を保ち、恐るべき強さで立ちはだかる。,"The headless ghost of a fallen knight. Retaining martial prowess from life, it stands as a fearsome foe."
unit.ghost.desc,彷徨う霊魂。実体を持たず、魔力で触れたものを蝕む。,"Wandering spirits. Incorporeal, they corrode whatever they touch with spectral energy."
unit.wraith.desc,怨念が凝った亡霊の戦士。空を漂い、生者に恨みを叩きつける。,"Spectral warriors forged from lingering grudges. They drift through the air and lash out at the living."
unit.necromancer.desc,死者を操る闇の術者。自らは脆いが、屍の群れを従えて戦場を支配する。,"A dark sorcerer who commands the dead. Fragile alone, but rules the battlefield with a host of corpses."
unit.orc.desc,筋骨隆々の亜人の戦士。力任せに武器を振るい、正面から押し潰す。,"Burly humanoid warriors. They swing their weapons with brute force, crushing foes head-on."
unit.orc_leader.desc,オークの群れを束ねる頭目。力と統率を兼ね備えた厄介な指揮官。,"A chieftain who commands the orc band. A troublesome leader with both strength and authority."
unit.orc_mage.desc,原始的な呪術を操るオーク。仲間のなかでは異質だが、侮れない。,"An orc who wields primal shamanic magic. An outlier among its kind, but not to be underestimated."
unit.griffon.desc,鷲の頭と獅子の体を持つ魔獣。空からの急襲は歩兵の脅威。,"A magical beast with an eagle's head and a lion's body. Its aerial charges are a terror to infantry."
unit.harpy.desc,鉤爪を持つ翼の魔物。空を飛び、地上の敵も空の敵も襲う。,"Winged monsters with hooked talons. They assail foes both on the ground and in the air."
unit.rock_serpent.desc,岩場に潜む小さな蛇の群れ。素早く、思わぬところから現れる。,"Swarms of small serpents that lurk among the rocks. Swift, they appear where least expected."
unit.wyrm.desc,翼を持たない地を這う竜。圧倒的な攻撃力で獲物に食らいつく。,"A wingless dragon that crawls along the earth. It seizes prey with overwhelming force."
unit.scorpion.desc,巨大な尾と鋏を持つ蠍。硬い外殻は剣を弾き、毒尾が敵を刺す。,"Enormous scorpions with massive tails and pincers. Their tough carapace deflects blades while their venomous tails strike."
unit.troll.desc,山のように巨大な怪物。動きは遅いが、近づいた者を容赦なく叩き潰す。,"A monster as massive as a mountain. Slow, but it mercilessly crushes anything that draws near."
unit.treant.desc,意志を持つ巨木。森では無類の守りを見せ、根と枝で侵入者を打つ。,"A sentient great tree. Unmatched in forest defense, it strikes intruders with root and branch."
unit.matango.desc,歩く茸の群生。胞子を撒き散らして遠くの敵を狙う。,"A colony of walking mushrooms. They scatter spores to strike distant foes."
unit.mandragora.desc,悲鳴を上げる人型の根。その叫びは魔力を帯び、鎧を無視して敵を蝕む。,"Humanoid roots that shriek in anguish. Their cries carry magical force, bypassing armor to wither foes."
unit.red_dragon.desc,空と炎を支配する竜。その咆哮は大地を揺るがし、炎は全てを焼き尽くす。,"A dragon that commands sky and flame. Its roar shakes the earth, and its fire consumes all."
unit.slime.desc,不定形の魔法生物。弱いが分裂して数を増やし、じわじわと戦場を埋める。,"An amorphous magical creature. Weak, but it multiplies by splitting, slowly filling the battlefield."
unit.rogue.desc,街道を荒らすならず者。一人は弱いが、徒党を組んで旅人を襲う。,"Outlaws who plague the roads. Weak alone, they band together to prey on travelers."
unit.rogue_axe.desc,斧を振るう荒くれ。力はあるが守りは薄い、攻め一辺倒の暴漢。,"Axe-wielding brutes. They have strength but little defense — all offense, no finesse."
unit.rogue_slinger.desc,石を投げつけるならず者。正面から戦う度胸はなく、遠くから嫌がらせをする。,"Bandits who hurl stones. Lacking courage for a fair fight, they harass from a distance."
unit.rogue_head.desc,ならず者どもの頭目。手下を引き連れ、自らの腕も確かな悪党の親玉。,"The ringleader of the rogues. Flanked by underlings and skilled in combat — a true bandit captain."
unit.rogue_wagon.desc,ならず者が使う荷馬車。盗んだ品を積み、仲間を運ぶ。,"A wagon commandeered by bandits. It hauls stolen goods and ferries their comrades."
ui.chronicle.title,クロニクル,Chronicle
ui.chronicle.back,← メニュー,← Menu
ui.chronicle.units,ユニット,Units
ui.chronicle.formations,陣形スキル,Formations
ui.chronicle.campaigns,冒険譚,Adventures
ui.chronicle.count,%d / %d,%d / %d
ui.chronicle.unknown,？,?
ui.chronicle.first_seen,初出,First seen in
ui.chronicle.capacity,搭乗,Capacity
ui.chronicle.name_category,%s（%s）,%s (%s)
ui.chronicle.skill_leader,発動者,Leader
ui.chronicle.skill_members,参加者,Members
ui.chronicle.skill_effect,効果,Effect
ui.chronicle.skill_effect_area,範囲攻撃（半径%d）,Area attack (radius %d)
ui.chronicle.skill_effect_single,単体攻撃,Single-target attack
ui.chronicle.skill_effect_buff,状態補正（味方全体）,Status effect (all allies)
ui.chronicle.skill_duration,持続,Duration
ui.chronicle.skill_instant,即時,Instant
ui.chronicle.skill_until_next_turn,次の自軍ターン開始まで,Until your next turn
ui.chronicle.skill_turns,%dターン,%d turns
ui.chronicle.skill_count,人数,Members
ui.chronicle.skill_count_min,%d以上,%d or more
ui.chronicle.skill_from,発動できる駒,Cast from
ui.chronicle.skill_from_any,どれからでも,Any member
ui.chronicle.skill_from_leader,発動者から,Leader only
ui.chronicle.results,戦果,Results
ui.chronicle.story,物語,Story
ui.chronicle.lore,設定集,Lore
ui.chronicle.back_campaigns,← 冒険譚,← Adventures
ui.chronicle.lore_locked,続きは冒険のあとで,More to come after your adventure
ui.chronicle.cleared_progress,%d / %d クリア,%d / %d Cleared
ui.chronicle.campaign_rank,ランク %s,Rank %s
ui.chronicle.total_time,合計 %s,Total %s
ui.chronicle.story_from_start,はじめから,From the beginning
ui.chronicle.story_empty,まだ読み返せる物語がない,No story to read back yet
ui.chronicle.story_next_chapter,次の章へ,Next chapter
ui.chronicle.story_end,読み終える,Finish
ui.chronicle.story_quit,← 章の一覧,← Chapters
