keys,ja,en
undead-rush.st4.synopsis,合体魔法で群れは薙ぎ払えた。それでも湧き元がある限り終わらない。教会が騎士と聖職を送ってきた。前衛と術者で道を作り、馬車で聖職を墓標まで運んで祈りを捧げる。足の速いグールと、壁をすり抜けるレイスが立ちはだかる。,"The combined spell has swept the swarm away, but nothing ends while the source remains. The church sends knights and more clergy. The vanguard and casters open a road and the wagon carries a priest to the graves to pray them silent — past quick ghouls and a wraith no wall can stop."
undead-rush.st5.title,神の加護,Invoke the Grace
undead-rush.st5.synopsis,墓地のひとつは鎮めた。だが奥にはグールの群れ。正面から殴り合えば前衛が潰れる。聖職が五人身を寄せて加護を祈り、盤の端まで届く光で味方を底上げする。祈っている聖職は脆い。バリケードと前衛で蓋をする。,"One graveyard is silenced, but ghouls swarm beyond it, and a head-on brawl would break the front line. Five of the clergy draw close and pray the Grace — a light that reaches the far edge of the field. Those at prayer are fragile: keep them behind barricades and the vanguard."
undead-rush.st6.title,首無し騎士の猛攻,Storm the Crypts
undead-rush.st6.synopsis,加護を得て墓地を押さえた。だが、さらに奥から格の違う気配がする。首無しの鎧＝デュラハンは、弱ったところ脆いところを選んで回り込んでくる。トリニティノヴァとグレイス、手札を全部出して、二つの墓地を鎮める。,"With the Grace upon them the party holds the graveyard, but from deeper in comes something of another order: a dullahan, a headless suit of armor that circles to whatever is wounded or frail. The Trinity Nova and the Grace together, every card played — and two graveyards to lay to rest."
undead-rush.st7.title,屍の元凶,The Necromancer's End
undead-rush.st7.synopsis,二つの墓地を鎮めてなお屍は絶えない。元凶は生きた者、死者を操るネクロマンサーだった。聖都から聖騎士が飛空艇で向かっている。屍を残らず倒す必要はない。その一撃が届くまで前線を守り抜く。,Both graveyards are laid to rest and still the dead come. The source is alive after all — a necromancer who commands them. A paladin is on the way by airship from the Holy City. There is no need to fell every corpse: hold the line until the paladin's single strike can reach.
dragon-hunt.title,竜狩り,The Dragon Hunt
dragon-hunt.desc,街を襲う魔獣の討伐を請け負ったベテラン冒険者たちが、黒幕を追い竜と対峙する第三の章。平原から火口へ舞台を移し、飛行と対空、異種族の勧誘、戦力を次へ持ち越す消耗の重みを学ぶ。,"Veterans hired to cull the beasts raiding the city follow the trail to its masters, and face the dragon. From plains to caldera: flight and anti-air, other peoples recruited, losses carried on."
dragon-hunt.st1.title,駆け出し冒険者と魔獣,Bring Them Down
dragon-hunt.st1.synopsis,魔獣の討伐と調査を請け負ったベテランたちが、街道を街へ向かう。その先で若い冒険者がオークに囲まれていた。しかも奥からグリフォンが来る。空の相手に剣は届かない。弓と魔法で落とし、若手を助ける。,"Veterans hired to cull the beasts and look into them take the road toward the city — and find a young party pinned by orcs, with a griffon closing in behind. Blades cannot reach the sky. Bring it down with bow and spell, and get the youngsters out."
dragon-hunt.st2.title,南北の門の死守,Hold Both Gates
dragon-hunt.st2.synopsis,助けた若手を連れて街に入り、聞き込みで分かったのは、ならず者が消えた頃から魔獣が現れたということ。そこへ南北の門から同時に襲撃。バリスタは一基だけで、馬車で運べる門はどちらか片方だ。街の拠点を奪われれば負ける。,"With the youngsters in tow, the party enters the city, where word is that the beasts appeared right about when a band of ruffians vanished. Then both gates are struck at once. There is one ballista, and the wagon can bring it to only one of them. Lose a city post and the fight is lost."
dragon-hunt.st3.title,荒野の争奪戦,Stall Them from Above
dragon-hunt.st3.synopsis,門は守り、ならず者の馬車から囚われの妖精を助け出した。轍は荒野へ続く。ドワーフの坑道からは地下の魔物が這い出し、ローグたちは集落へ向かっている。魔物を捌きながら、先に集落へ着いてドワーフを味方につける。,"The gates are safe, and a caged pixie is freed from the ruffians' wagon. The tracks lead to the badlands, where monsters crawl out of a dwarven mine and the rogues are making for the dwarves' camp. Cut through them, reach the dwarves first, and win them over."
dragon-hunt.st4.title,エルフの里の攻防,Win Over the Elves
dragon-hunt.st4.synopsis,轍を追って森に入る。道には魔物が居座っている。必要以上に起こさないよう避けて抜け、山の麓に止まったローグの馬車を壊す。道中のエルフの里へ遅れて着けば、こちらもローグと同じ賊と見なされる。,"The ruts lead on into the forest, where monsters sit on every road. Slip past without waking more of them than needed, and wreck the rogues' wagon where it has stopped at the foot of the mountains. Reach the elven village late, and the elves will take the party for rogues as well."
dragon-hunt.st5.title,山里の救出戦,Rescue the Fledglings
dragon-hunt.st5.synopsis,馬車を壊し、子どもたちを預かった。ローグは子どもを盾に親を脅すつもりで、まだそれを知らない。荒れた山から降りてきた魔獣に押されながら、崖の里へ先に着いて子どもたちを返す。,"The wagon is wrecked and the children are in the party's care — the rogues still mean to use them as leverage against their parents, and do not yet know they are gone. Push through beasts driven down from the ravaged mountains and reach the cliff village first to return them."
dragon-hunt.st6.title,洞窟の挟撃,Corner the Ringleader
dragon-hunt.st6.synopsis,子どもたちは親のもとへ戻り、鳥人が教えてくれた。ローグが探していたのは竜の巣の入口だった。洞窟の奥では、竜に返り討ちに遭った頭目が手負いで逃げている。泉は双方が要る。部屋を回り込んで挟む。,"The children are home, and the birdfolk tell what they know: the rogues were hunting the entrance to a dragon's nest. Deep in the caves their ringleader flees, wounded where the dragon fought back. Both sides need the springs. Circle the chambers and close the pincer."
dragon-hunt.st7.title,火竜との決戦,The Dragon's Wrath
dragon-hunt.st7.synopsis,頭目は討った。それでも巣を荒らされた竜の怒りは収まらず、街を目指して降りてこようとしている。火口に泉は無く、ここまで残した兵がそのまま持ち駒だ。落とすのではなく眠らせる。空へ届く手を一度に集める。,"The ringleader has fallen, but the dragon's rage at its despoiled nest has not, and it means to come down on the city. There are no springs in the caldera — what has been kept alive is all there is. Not to fell it but to put it to sleep: every shot that can reach the sky, loosed at once."
goblin-horde.title,ゴブリン討伐令,Warrant: The Goblin Lord
goblin-horde.desc,腕に覚えのある者へ。押し寄せるゴブリンの大群を、限られた手勢で討ち払え。物語はない。報酬と名誉、そして本気の腕試しがあるだけだ。,"For those who trust their skill: rout the goblin horde with a handful of troops. No tale to tell — just coin, glory, and a real fight."
goblin-horde.st1.title,ゴブリン討伐令,Warrant: The Goblin Lord
goblin-horde.st1.synopsis,討伐令が貼り出された。巣を離れた大群が街道へ下りてくる。増援は無く、手勢はこの紙に並ぶ顔ぶれだけ。地形を選び、噛み合わせて数を覆す。,"The warrant is posted: a horde has left its nest and is coming down the road. No reinforcements — the party on this sheet is all there is. Choose the ground, make your pieces mesh, and overturn the numbers."
event.goblin-raid-st4.town-freed.name,町の解放,Freeing the Town
event.undead-rush-st2.town-freed.name,詰所の解放,Freeing the Guard Post
event.undead-rush-st7.airship-arrive.name,飛空艇の到着,The Airship Arrives
event.dragon-hunt-st3.camp-secured.name,集落の確保,Securing the Camp
event.dragon-hunt-st3.camp-lost.name,集落を奪われた,The Camp Lost
event.debug-photo-store4.town-freed.name,町の解放,Freeing the Town
