keys,ja,en
manual.unit.main.move_after_attack.desc,攻撃したあと、残っている移動力でもう一度動けるかどうか。移動力は攻撃前と合わせて1ターンぶんを分け合う。撃ってから下がる動きができる。,"Whether the unit can move again after attacking, using whatever Move it has left. The allowance is shared across the whole turn, before and after. It allows hit-and-run."
manual.unit.main.can_capture.term,占領可,Can Capture
manual.unit.main.can_capture.desc,拠点を占領できるかどうか。持っているのは占領兵だけになる。,Whether the unit can capture a base. Only the clergy have it.
manual.unit.main.capacity.term,搭乗数,Capacity
manual.unit.main.capacity.desc,中に乗せられる味方の数。1以上なら輸送として使える。,How many friendly units it can carry. Anything from 1 up can be used as transport.
manual.unit.main.level.term,レベル,Lv
manual.unit.main.level.desc,戦うたびに上がる強さ。初期値は1で、1上がるごとに攻撃力と防御力が1%増える。上限は99。,"Power earned by fighting. Units start at 1, and every level adds 1% to both attack and defense. The cap is 99."
manual.unit.main.category.term,兵種,Class
manual.unit.main.category.desc,駒の役どころの分類。歩兵・弓兵・魔法兵・占領兵・斥候・飛行兵・精鋭・輸送・兵器・魔法生物がある。陣形スキルのレシピも兵種の組み合わせで書かれている。,"What role the unit fills: infantry, archer, mage, clergy, scout, flier, champion, transport, war machine and monstrosity. Formation skill recipes are written in terms of these too."
manual.combat.title,戦闘,Combat
manual.combat.main.title,戦闘,Combat
manual.combat.main.intro,戦闘に乱数は無い。同じ盤面で同じ手を打てば、結果は必ず同じになる。運で駒を失うことはないかわりに、負けたなら理由は必ず盤の上にある。,"There is no randomness in combat. The same board and the same move always give the same result. You never lose a unit to bad luck — but when you lose, the reason is always somewhere on the board."
manual.combat.main.simultaneous,同時に解決する,Resolved Simultaneously
manual.combat.main.sim1,攻撃側と防御側は同時に攻撃する。先制は無い。損害はどちらも戦闘前の兵数をもとに計算してから同時に適用するので、1回の戦闘で両方が全滅することもある。,"Attacker and defender strike at the same time. There is no initiative. Losses for both sides are worked out from the strength each had before the fight and then applied together, so a single fight can wipe out both units."
manual.combat.main.sim2,反撃が起きるのは、距離1で攻撃され、その距離を自分も撃てるときだけ。距離2以上の攻撃には反撃が無い。下限が2以上の砲兵は隣に入られると反撃できず、対空を持たない駒は飛行に殴られても反撃しない。,"A counterattack happens only when the unit is attacked at distance 1 and can shoot that distance itself. Attacks from distance 2 or more are never countered. Artillery with a minimum range of 2 or more cannot counter an adjacent enemy, and a unit without Atk vs Air cannot counter a flier."
manual.combat.main.chain,攻撃力と防御力,Attack and Defense
manual.combat.main.chain1,駒はそのままの数値で戦うわけではない。兵数を掛けたものに補正が順に乗り、実効攻撃力・実効防御力になる。戦闘レポートはこの内訳をそのまま見せている。,"A unit does not fight with its raw numbers. Strength is applied first, then a chain of modifiers, producing Effective Atk and Effective Def. The battle report lays out that same breakdown."
manual.combat.main.chain2,掛け算で効くのはレベル・包囲・地形・状態補正。足し算で効くのは支援と状態補正。掛け算をすべて済ませてから、足し算を足す。,"Lv, Encircled, Terrain and Status Effects multiply. Support and Status Effects add. Every multiplication is applied first, then the additions go on top."
manual.combat.main.chain3,最後に防御貫通が防御側にだけ掛かる。支援を足したあとの防御力に掛かるので、支援も貫通の影響を受ける。,"Pierce is applied last, and only to the defender. It hits the defense after Support has been added, so Support is reduced by it as well."
manual.combat.main.mods,補正,Modifiers
manual.combat.main.level.term,レベル,Lv
manual.combat.main.level.desc,1上がるごとに攻撃力と防御力が1%増える。戦えば+1、倒せばさらに+1。反撃できなかった側は上がらない。拠点を占領した占領兵は+10で、戦う機会の少なさを1回で補う。上限は99。,"Each level adds 1% to attack and defense. Fighting gives +1, and destroying the enemy gives another +1. A unit that could not counter gains nothing. A clergy unit that captures a base gains +10, making up in one go for how rarely it fights. The cap is 99."
manual.combat.main.surround.term,包囲,Encircled
manual.combat.main.surround.desc,囲まれた側が弱る補正。隣接する敵が2体以上で成立し、周囲6マスのうち敵がいるマスと、空きでも敵に隣接しているマスの数で深さが決まる。攻撃力にも防御力にも同じだけ掛かり、近接にも間接にも効く。盤の外のマスは数えないので、端や隅は囲まれにくい。,"A penalty on the unit being surrounded. It takes two or more adjacent enemies to trigger, and its depth depends on how many of the six neighboring hexes hold an enemy, plus how many empty ones are next to an enemy. It applies equally to attack and defense, in melee and at range alike. Hexes off the board are not counted, so units on edges and corners are hard to encircle."
manual.combat.main.support.term,支援,Support
manual.combat.main.support.desc,隣接する味方による底上げ。攻守どちらも、相手側の駒に隣接している味方が足してくれる。攻めるときは標的に隣接している味方が、守るときは攻撃者に隣接している味方が支援に入る。相手を囲んだ駒が、そのまま支援も兼ねる形になる。支援する側の兵数に比例するので、削られた味方の支援は薄い。近接攻撃のときだけ乗る。,"A boost from adjacent allies. Either way, the allies who contribute are the ones standing next to the unit on the other side: attacking, that means allies adjacent to the target; defending, allies adjacent to the attacker. A unit that surrounds an enemy doubles as a supporter. The amount scales with the supporter's strength, so a worn-down ally gives little. It applies to melee only."
manual.combat.main.terrain.term,地形,Terrain
manual.combat.main.terrain.desc,立っているマスの地形が、攻撃と防御にそれぞれ別の係数で掛かる。攻める側は自分の足元の攻撃係数、守る側は自分の足元の防御係数を使う。,"The terrain a unit stands on applies its own factors, one for attack and one for defense. The attacker uses the attack factor of the hex under itself, and the defender uses the defense factor of the hex under itself."
manual.combat.main.pierce.term,防御貫通,Pierce
manual.combat.main.pierce.desc,撃った側が持つ、相手の防御を無視する割合。相手が硬いほど効きが伸びる。,"The share of the target's defense that the attacker ignores. The harder the target, the more it pays off."
manual.combat.main.status.term,状態補正,Status Effect
manual.combat.main.status.desc,スキルで掛かる強化と弱体。掛け算で効くものと足し算で効くものがあり、それぞれの列に加わる。掛かっている駒は足元に輪が出る（弱体＝内側の太い輪／強化＝外側の細い輪）。,"Buffs and debuffs from skills. Some multiply and some add, joining the chain in their own group. A unit carrying one shows a ring at its feet — a thick inner ring for debuffs, a thin outer ring for buffs."
manual.combat.main.mods_note,包囲と支援は同じ配置から同時に出る。敵の横に味方を置けば、その敵を弱らせながら自分の攻撃を底上げする。1体の置き場所が両方に効く。,"Encircled and Support come out of the same placement. Put an ally beside an enemy and it weakens that enemy while boosting your own attack. One unit's position does both."
manual.combat.main.damage,損害の決まり方,How Losses Are Decided
manual.combat.main.damage1,削れる兵数は、攻める側の実効攻撃力と守る側の実効防御力の比で決まる。互角なら相手の兵の半分、攻撃力が2倍なら8割、半分なら2割が目安になる。,"How many soldiers are lost comes from the ratio of the attacker's Effective Atk to the defender's Effective Def. Evenly matched takes about half, twice the attack takes about eighty percent, half the attack takes about twenty."
manual.combat.main.damage2,差がついたときほど鋭く効く。互角の殴り合いは互いを削るだけなので、補正を積んでから当てるのがこのゲームの組み立てになる。,"The wider the gap the sharper it bites. An even brawl just grinds both sides down, so the game is about stacking modifiers before you commit."
manual.terrain.title,地形,Terrain
manual.terrain.main.title,地形,Terrain
manual.terrain.main.intro,盤のマスにはそれぞれ地形が置かれている。地形はルールを持つ層と見た目の層に分かれていて、絵が違っても同じ層のものなら同じルールで動く。尾根と花崗岩の尾根、平地と洞窟の床が同じ扱いになるのはこのため。,"Every hex on the board carries a terrain. Terrain is split into a layer that holds the rules and a layer that holds the look, so two hexes that look different behave identically if their rule layer is the same. That is why a ridge and a granite ridge, or a plain and a cave floor, play the same."
manual.terrain.main.stats,地形の攻防,Attack and Defense
manual.terrain.main.stats1,地形は攻撃と防御に別々の係数を持つ。立っているマスの係数が、その駒の攻撃力・防御力に掛かる。攻めに向く地形と守りに向く地形があるので、どこで受けてどこから撃つかが読み合いになる。,"Terrain carries separate factors for attack and for defense. The factors of the hex a unit stands on apply to that unit. Some terrain favors attacking and some favors holding, so where you receive an attack and where you shoot from is part of the puzzle."
manual.terrain.main.sight,視線,Line of Sight
manual.terrain.main.sight1,敵が近づいたことに気づくかどうかは、まっすぐの距離ではなく地形ごとの視線コストの積み上げで決まる。開けた土地は1、森や低い障害は2、高い障害は3、壁は通さない。,"Whether an enemy is noticed is not a matter of straight distance but of adding up a sight cost per terrain. Open ground is 1, woods and low obstacles are 2, high obstacles are 3, and walls block entirely."
manual.terrain.main.sight2,森ごしには見通しが落ち、壁の裏には影ができる。柵は柱と横木なのでマスを埋めず、視線は遮らない。前衛で視線を切れば、後ろの駒が気づかれずに済むこともある。,"Sight fades through woods and a wall casts a blind spot behind it. A fence is posts and rails — it does not fill the hex and does not block sight. Screening with your front line can keep the units behind it unnoticed."
manual.terrain.main.layer,足場とオブジェクト,Ground and Objects
manual.terrain.main.layer1,地形は足場（地面そのもの）とオブジェクト（地面の上に載るもの）に分かれる。1つのマスでルールを出すのは1つだけなので、オブジェクトのマスに敷かれた地面は見た目だけ＝攻防にも視線にも移動にも関わらない。,"Terrain is either ground (the surface itself) or an object (something sitting on top of it). Only one of them supplies the rules for a hex, so the ground drawn under an object is decoration only — it plays no part in attack, defense, sight or movement."
manual.terrain.main.height,盤の高さ,Elevation
manual.terrain.main.height1,盤には高低差がある。ただし高さは見た目だけで、移動コストにも地形の攻防にも視線にも入らない。通れないかどうかを決めるのは、そこに置かれた地形のほうになる。崖に見えて通れないのは、高さを上げたうえで通れない地形を置いてあるから。,"The board has relief, but height is presentation only — it does not enter movement cost, terrain factors or sight. What can and cannot be crossed is decided by the terrain placed there. A cliff blocks you because impassable terrain was placed on it, not because it is tall."
manual.move.title,移動,Movement
manual.move.main.title,移動,Movement
manual.move.main.intro,駒はそれぞれ移動種別を持ち、地形ごとの進入コストがそこで決まっている。移動力からコストを引きながら進み、足りるところまで動ける。,Each unit has a move type that fixes its entry cost for every terrain. Costs are deducted from its Move as it goes and it can travel as far as that allowance reaches.
manual.move.main.cost,コスト,Cost
manual.move.main.cost1,同じ地形でも移動種別によってコストが違う。進入できない地形もあり、そこには入れない。1マスのコストが自分の移動力を超える地形も実質的に通れないので、コスト3の柵は移動2の駒だけを締め出す。,"The same terrain costs different amounts to different move types, and some terrain cannot be entered at all. Terrain whose single-hex cost exceeds a unit's Move is effectively impassable too, which is why a fence at cost 3 shuts out only units with Move 2."
manual.move.main.cost2,味方の駒がいるマスは通り抜けられるが、そこで移動を終えることはできない。敵の駒がいるマスは通ることも止まることもできない。,"A hex holding a friendly unit can be passed through but not stopped on. A hex holding an enemy can be neither passed through nor stopped on."
manual.move.main.zoc,足止め,Zone of Control
manual.move.main.zoc1,敵に隣接するマスに入ると、そこで移動が終わる。マスには入れるが、その先へは進めない。飛行を含むすべての移動種別に効く。,"Entering a hex adjacent to an enemy ends the move there. The hex itself can be entered, but nothing beyond it. This applies to every move type, fliers included."
manual.move.main.zoc2,動き出す前から足止め範囲にいる場合は、そのまま動き出せる。前衛を横に並べて帯を張れば敵の足を止められるので、逃げる敵や退く敵を捕まえる手になる。,"A unit that starts its turn already inside an enemy's zone of control can still move off. Lining up your front rank into a belt stops enemies in their tracks, which is how you catch the ones that run or withdraw."
manual.move.main.after,攻撃後の再移動,Moving After an Attack
manual.move.main.after1,攻撃後再移動を持つ駒は、攻撃したあと残りの移動力でもう一度動ける。移動力は攻撃前と合わせて1ターンぶんを分け合う。撃ってから下がる動きができるが、足止めで止まったマスから再移動ですり抜けることはできない。,"A unit with Move After Attack can move again on whatever Move it has left. The allowance covers the whole turn, before and after. It can shoot and pull back, but it cannot use the second move to slip out of a zone of control that stopped the first."
manual.move.main.transport,輸送,Transport
manual.move.main.tr1,搭乗数を持つ駒には味方を乗せられる。輸送のマスへ移動すると乗り、乗った駒はその時点で行動が終わる。輸送は別の駒なので同じターンのうちに動かせる＝乗せてすぐ運べる。,"A unit with Capacity can carry allies. Move onto the transport's hex to board, which ends the passenger's turn. The transport is a separate unit and can still move that same turn, so you can load and haul in one go."
manual.move.main.tr2,降りた駒がまだ行動していなければ、降りた場所を起点に普通に動いて攻撃もできる。降ろせるのはその駒が入れる地形だけ。乗り降りは輸送に隣接するマスとの間なら、移動力や地形コストに関係なく行える。,"A passenger that has not acted yet can unload and then move and attack normally from where it lands. It can only be unloaded onto terrain it is able to enter. Boarding and unloading between the transport and an adjacent hex ignore Move and terrain cost entirely."
manual.move.main.tr3,輸送が倒されると、乗っている駒も一緒に失われる。運んでいる中身は降りる前に潰されうる、ということでもある。,"If the transport is destroyed its passengers go down with it. What it carries can be wiped out before it ever gets to disembark."
manual.skill.title,スキル,Skills
manual.skill.main.title,スキル,Skills
manual.skill.main.intro,スキルは2種類ある。複数の駒の配置が揃うと撃てる陣形スキルと、1体で撃てるユニットスキル。,"There are two kinds of skill: formation skills, which need several units arranged a particular way, and unit skills, which one unit casts alone."
manual.skill.main.recipe,レシピ,Recipes
manual.skill.main.recipe1,どのスキルが撃てるかはレシピが決める。レシピは必要な駒とその並びを指定していて、盤の上でそれが揃うと撃てるようになる。照合は見た目で行うので、性能が同じでも見た目が違えば別物として扱う。,"A recipe decides what can be cast. It names the units required and how they must be arranged, and once that shape exists on the board the skill becomes available. Matching goes by appearance, so two units with identical stats but different looks are not interchangeable."
manual.skill.main.recipe2,条件が揃っても自動では出ない。撃つかどうかは常にこちらが選ぶ。,Meeting the conditions never fires a skill by itself. Casting is always your call.
manual.skill.main.cost,コスト,Cost
manual.skill.main.cost1,参加した駒はその時点で行動が終わる。1体が1ターンに参加できるスキルは1つだけ。つまりスキルの値段は行動そのもので、この駒を殴らせるか供出するかという二択になる。,"Every participant is finished for the turn, and a unit can join only one skill per turn. The price of a skill is therefore action itself: for each unit you choose between letting it fight and spending it."
manual.skill.main.cost2,発動する駒は移動してから撃ってよい。レシピが揃っているかも射程も、移動先の位置で見る。残りの参加者はその場に留まる＝寄ってきた1体が号令をかける形になる。,"The caster may move first. Whether the recipe is satisfied, and what is in range, are judged from where it ends up. The other participants stay put — one unit walks over and gives the order."
manual.skill.main.kinds,効果の種類,Kinds of Effect
manual.skill.main.kinds1,効果には、当てて削るもの・味方を強化するもの・敵を弱らせるもの・掛かっている弱体を落とすもの・盤に駒を足すものがある。,"Effects come in several kinds: ones that land and do damage, ones that strengthen an ally, ones that weaken an enemy, ones that strip debuffs already in place, and ones that put a new unit on the board."
manual.skill.main.kinds2,当てて削るものは間接攻撃として扱う＝支援は乗らず、包囲は乗る。囲むほど威力は上がるが、囲むほど自軍が着弾面に入る。参加していない味方は巻き込まれる。,"Damaging effects count as ranged attacks: Support does not apply, but Encircled does. The more you surround the target the harder it hits — and the more of your own units stand inside the blast. Allies that did not participate are caught in it."
manual.skill.main.stack,重ねがけと持続,Stacking and Duration
manual.skill.main.stack1,ユニットスキルは重ねがけできる。2体が同じ相手に掛ければ効果は足し合わさり、同じスキルを重ねてもよい。,"Unit skills stack. Two casters on the same target add up, and the same skill may be layered on itself."
manual.skill.main.stack2,持続はスキルごとに決まっていて、掛けた側のターン開始で数える。間にはさまる相手のターンでは減らない。,"Duration is set per skill and counts down at the start of the caster's own turn. The opponent's turns in between do not reduce it."
manual.skill.main.stack3,再使用に間隔を持つスキルもある。毎ターン1ずつ溜まり、必要量に達すると撃てる。撃つと0に戻り、盤に出た直後も0から始まる。,"Some skills have a recharge. It fills by 1 each turn and the skill becomes available once it reaches what the recipe needs. Casting resets it to 0, and a unit that has just entered the board starts at 0 as well."
manual.ai.title,敵AI,Enemy AI
manual.ai.common.title,共通の仕組み,How It Works
manual.ai.common.intro,敵の動きは特性で決まっている。特性ごとに、いつ動き出すか（行動開始条件）と、1手番で何をするか（行動ルール）が書き下してあり、そこに乱数は入らない。,"Enemy behavior is fixed by its trait. Each trait spells out when the unit wakes up (its activation) and what it does on its turn (its action rules). No randomness enters anywhere."
manual.ai.common.read,敵が使う情報は、こちらが盤から読めるものに限られる。手の内を覗いて動くことはない。敵を選べば、情報パネルにその駒の特性と部隊が出る。,"The enemy only uses information you can read off the board yourself. It never peeks at anything hidden. Select an enemy and the info panel names its trait and its squad."
manual.ai.common.rules,行動ルールの読み方,Reading the Action Rules
manual.ai.common.rules1,行動ルールは上から順に条件を当てて、最初に当てはまった行を実行する。どの行も当てはまらなければ待機する。移動を使い切った駒は、移動を伴う行を飛ばして次の行を見る。,"The rules are checked from the top and the first one that fits is what the unit does. If none fit, it waits. A unit that has spent its Move skips rules that involve moving and reads on."
manual.ai.common.rules2,移動と攻撃は別の手になる。移動の行を実行したら、もう一度表を上から当て直す。このとき移動を伴う行は飛ばされるので、同じ手番のうちに攻撃の行が拾う。,"Moving and attacking are separate acts. After a movement rule fires, the table is read again from the top. Movement rules are skipped on that second pass, so an attack rule picks it up within the same turn."
manual.ai.common.start,行動開始条件,Activation
manual.ai.common.start1,行動開始条件は、その駒が眠りから覚める条件。一度成立したら以後は判定しない＝起きたあとで敵が離れても止まらない。,"Activation is what wakes a sleeping unit. Once it is met it is never checked again — the unit does not go back to sleep when you withdraw."
manual.ai.common.start2,攻撃を受けた駒は、特性にかかわらずその時点で起きる。視線の外からでも射程の外からでも、撃たれれば起きる。,"A unit that is attacked wakes on the spot regardless of its trait. Being shot from outside its sight or from beyond its range wakes it all the same."
manual.ai.common.squad,部隊,Squads
manual.ai.common.squad1,敵の駒は必ずどれかの部隊に属する。特性は部隊ごとに割り当てられていて、行動開始条件の「部隊の誰かが動き出している」はこの束を見る＝1体に触れると、その部隊が一斉に起きる。,"Every enemy unit belongs to a squad, and traits are assigned per squad. The activation clause about a squadmate having already woken refers to that group, so touching one unit rouses the whole squad at once."
manual.ai.common.squad2,どこまでが同じ部隊かは盤の絵からは読めないので、駒を選ぶと情報パネルに部隊名が出る。一度に何部隊を起こすかが、こちらの判断になる。,"You cannot tell squad boundaries by looking at the board, so selecting a unit shows its squad name in the info panel. How many squads you rouse at once is your decision to make."
manual.ai.common.order,行動順,Turn Order
manual.ai.common.order1,敵のターンは部隊ごとに順番が決まっている。部隊の中では、最寄りの敵に近い駒から動く。前の駒から動かすのは、後ろが先に動くと前に塞がれて進めなくなるため。順番は毎ターン計算し直す。,"The enemy turn runs squad by squad in a fixed order. Within a squad, the unit closest to its nearest foe goes first — if the rear moved first it would be blocked by its own front. The ordering is recomputed every turn."
manual.ai.common.sortie,拠点出撃,Deploying from Bases
manual.ai.common.sortie1,控えを抱えた拠点も1つの部隊として扱う。行動開始条件を満たすと、拠点の隣が埋まるか控えが尽きるまで駒を出し続ける。出す先は、いちばん近い敵に最も近い空きマスになる。,"A base holding reserves counts as a squad of its own. Once its activation is met it keeps deploying until the hexes around it are full or the reserves run out. Each unit goes to whichever empty hex is closest to the nearest enemy."
manual.ai.common.sortie2,出した駒はそのターン行動が終わり、次のターンからその部隊の特性で戦う。特性を持たない拠点は出撃しない＝控えを抱えたまま動かない拠点もある。,"A deployed unit is done for that turn and fights under the base's trait from the next one. A base with no trait never deploys, so some bases sit on their reserves and never open."
manual.ai.terms.title,用語,Glossary
manual.ai.terms.intro,行動ルールの表で使う言葉をまとめる。,The terms used in the action rule tables.
manual.ai.terms.distance,距離,Distances
manual.ai.terms.dist_board.term,盤上距離,Hex Distance
manual.ai.terms.dist_board.desc,ヘックスの上をまっすぐ数えた距離。地形も駒も見ない。,Distance counted straight across the hexes. It ignores both terrain and units.
manual.ai.terms.dist_move.term,移動距離,Move Distance
manual.ai.terms.dist_move.desc,入れないマス（進入できない地形と、駒が立っているマス）を避けて、標的を攻撃できるマスまで地形コストで測った最短の距離。攻撃できるマスが1つも無ければ測れない＝対空を持たない駒にとって飛行の標的は距離が測れない。,"The shortest distance in terrain cost to a hex from which the target can be attacked, going around what cannot be entered — impassable terrain and hexes holding units. If no such hex exists the distance cannot be measured, which is the case for a flier seen by a unit with no Atk vs Air."
manual.ai.terms.dist_terrain.term,地形距離,Terrain Distance
manual.ai.terms.dist_terrain.desc,移動距離から駒の除外を外し、地形だけで測った距離。塞いでいる駒はいずれどくので、その先の道も数える。,"Move Distance with units removed from consideration — measured over terrain alone. Whatever is in the way will move eventually, so the road beyond it still counts."
manual.ai.terms.dist_detour.term,迂回距離,Detour Distance
manual.ai.terms.dist_detour.desc,移動距離に、敵の足止め範囲も避ける条件を足して測った距離。ただし標的自身の足止め範囲は避けない（避けると標的の隣に入れなくなるため）。,"Move Distance with enemy zones of control avoided as well. The target's own zone is not avoided, since avoiding it would make it impossible to reach the target at all."
manual.ai.terms.dist_sight.term,視線距離,Sight Distance
manual.ai.terms.dist_sight.desc,地形の視線コストを積み上げた距離。壁で途切れ、森ごしでは伸びる。,Distance measured by adding up terrain sight costs. Walls cut it off and woods stretch it out.
manual.ai.terms.unmeasurable.term,測れない,Not Measurable
manual.ai.terms.unmeasurable.desc,避けるマスを迂回しても標的へ辿り着けないこと。距離が測れないときにどうするかは、特性ごとに行動ルールが決めている。,"When no route to the target exists once the excluded hexes are taken out. What a unit does in that case is decided by its own action rules."
manual.ai.terms.moving,動き方,Movement
manual.ai.terms.reach.term,移動範囲,Move Range
manual.ai.terms.reach.desc,今ターンその駒が止まれるマスの集合。足止めで切り詰められ、足止めのマス自体は入る。乗れる味方輸送のマスもここに入る。,"The set of hexes the unit can end its turn on. Zones of control cut it short, though the stopping hex itself is included. Hexes with a friendly transport it can board are in the set too."
manual.ai.terms.advance.term,前進,Advance
manual.ai.terms.advance.desc,移動範囲のうち、標的への距離がいちばん縮むマスへ動くこと。使う距離が4種類ある。最大前進は移動距離、回り込みは迂回距離、見込前進は地形距離、直線寄せは盤上距離を使う。縮むマスが無ければその場に留まる。,"Moving to whichever hex in Move Range shortens the distance to the target most. It comes in four flavors by which distance it uses: full advance uses Move Distance, flanking uses Detour Distance, projected advance uses Terrain Distance, and straight approach uses Hex Distance. If nothing shortens it, the unit stays put."
manual.ai.terms.keep_range.term,最大間合い,Max Standoff
manual.ai.terms.keep_range.desc,移動範囲のうち標的を撃てるマスで、標的からいちばん遠いマスへ動くこと。射程の上限より遠くへは行かない（行くと撃てなくなるため）。敵の移動力は見ないので、翌ターン詰められることはある。,"Moving to the hex in Move Range from which the target can still be hit and which is furthest from it. It never goes beyond its own maximum range, since that would mean it cannot shoot. Enemy Move is not taken into account, so it can still be closed down next turn."
manual.ai.terms.threat.term,脅威圏,Threat Range
manual.ai.terms.threat.desc,盤の敵のどれかが移動力ぶん動いた先から自分を攻撃できるマスの集合。敵ごとに動ける範囲を測り、そこから射程を伸ばして重ねる。盤上の敵ぜんぶの合計なので、足の速い駒が1体いるだけで広がる。,"The set of hexes where some enemy on the board could attack the unit after moving its full allowance. Each enemy's reach is measured and its range added on top, then all of them are combined. It is the sum over every enemy, so one fast unit widens it a great deal."
manual.ai.terms.spacing.term,間合取り,Spacing
manual.ai.terms.spacing.desc,移動範囲のうち脅威圏の外にあるマスで、標的への移動距離がいちばん小さいマスへ動くこと。近すぎれば下がり、遠すぎれば詰める＝詰めるのと下がるのが同じ式から出る。脅威圏の外に行き先が無ければ動かない。,"Moving to the hex in Move Range that lies outside the Threat Range and is closest to the target in Move Distance. Too near and it backs off, too far and it closes — both fall out of the same rule. If there is nowhere outside the Threat Range, it does not move."
manual.ai.terms.targets,標的の選び方,Choosing Targets
manual.ai.terms.no_counter.term,反撃されない,No Counter
manual.ai.terms.no_counter.desc,そのマスから撃ったときに、標的が撃ち返してこないこと。距離2以上であるか、標的が距離1を撃てないか、標的にこちらを攻撃する手段が無いときに成立する。射程と距離と相手の種別だけで決まる＝盤から読める。,"When shooting from that hex draws no return blow. It holds if the distance is 2 or more, or the target cannot shoot distance 1, or the target has no way to attack the unit at all. It follows purely from ranges, distance and unit types, so you can read it off the board."
manual.ai.terms.wounded.term,手負い,Wounded
manual.ai.terms.wounded.desc,その駒が攻撃できる敵のうち、失った兵の割合がいちばん大きいもの。同率なら移動距離が小さいもの。全員無傷ならいちばん近い敵が手負いになる。盤全体から1体だけ選ぶ。,"Among the enemies the unit can attack, the one that has lost the largest share of its strength — ties going to the one nearest in Move Distance. When nobody is hurt, the closest enemy is the wounded one. Exactly one is picked, from the whole board."
manual.ai.terms.prey.term,獲物,Prey
manual.ai.terms.prey.desc,その駒が攻撃できる敵のうち、いちばん柔らかい敵の防御力に10を足したところまでに収まるもの。1体ではなく集合で、兵数は見ない＝能力だけで決まるので、どの駒が狙われているかを読める。上限は盤全体の敵から計算する。,"Among the enemies the unit can attack, those whose defense falls within ten of the softest one. It is a set rather than a single unit, and strength is not considered — it depends on stats alone, so you can tell who is being hunted. The threshold is worked out from every enemy on the board."
manual.ai.terms.air_target.term,空敵,Air Target
